gene_symbol,logFC,adj_pvalue
C5orf46,-1.2583352009807758,2.841655353715874e-08
PPP1R2,-1.0778875483818453,2.89514239304957e-08
GNA12,-1.018109801864866,2.9192710397447876e-08
LOC732007,-1.0538278248252624,2.939596370589528e-08
MAP2K1,-1.0321507763728928,2.951821809247163e-08
ZMAT5,-1.2021406153852654,3.040285023694829e-08
C15orf57,-1.0422512884926363,3.1486149642425706e-08
NUSAP1,-1.2139212194840177,3.186289467084872e-08
LOC100130178,0.9803611977022477,3.21720625540331e-08
ANAPC13,1.0797987032839753,3.22605320409911e-08
TPD52L1,-1.187485504786487,3.2684579436845694e-08
SAPS3,-1.1194016392370223,3.2919502542204285e-08
GNB5,-1.015889579020409,3.292113667465883e-08
DPM2,-1.0352154630947261,3.294496221228407e-08
CDK2,-1.022596852720465,3.309421022639769e-08
SP110,1.386330923019603,3.367731519743695e-08
AURKB,-1.0071212166689651,3.3933633036788464e-08
EFNB1,1.1194659440037276,3.406696489643792e-08
UBAP1,-0.9608424533482065,3.5351829559814285e-08
PLS1,-0.9945766824637365,3.5544671400391835e-08
RCC2,-1.1658385241247071,3.562326801389649e-08
PAFAH1B1,-1.1427646812712693,3.5735762644398447e-08
S1PR3,1.2523393632063353,3.591176010851261e-08
WDR1,-1.1821788009310836,3.6025729668262836e-08
NDN,1.0865988919906648,3.6031804712253295e-08
RCN3,-0.962803685897569,3.823507924443452e-08
DPYSL3,-1.2710573690059164,3.8283811992207866e-08
SERPINE1,1.6331349576192444,3.8996207999724775e-08
SLC25A15,1.2582957767302636,3.965457222600572e-08
FEM1C,-1.0188869396237372,3.9656891617077886e-08
PCDH7,1.2432942003903378,4.015425794800158e-08
HMGCS1,-1.6933575808197734,4.0189776076742667e-08
MOBKL2B,-1.1206124898629506,4.047395204773423e-08
VDAC3,-0.9806076300249877,4.0657737434571377e-08
AP1M1,-1.0244883614452966,4.0892579608722195e-08
CCDC147,-1.1532107435709502,4.1228793915093615e-08
PYCR1,-1.040898984866928,4.1857917871126985e-08
MCM6,-1.0556656953497114,4.2060825612876085e-08
UBE2A,-1.2248190336788216,4.270690740378953e-08
PMEPA1,-1.1362223403118978,4.3804723110063794e-08
DTWD1,1.3084076367304522,4.403121062532011e-08
S100A11,-1.1701885669993022,4.4322630774418216e-08
GLT25D1,-1.256807857451557,4.506255678259014e-08
OKL38,-1.4979311433132647,4.63868614743785e-08
GAMT,1.4184919592779899,4.646607135045805e-08
LOC730278,-1.2171288562733444,4.753006224322195e-08
DHCR7,-1.3831821284198362,4.8573020766060635e-08
CDH2,0.9613557550112759,4.890635817480113e-08
TRIM28,-0.9394912624729077,5.0506513639061375e-08
PPP1CC,1.096566590603711,5.094391315354972e-08
MRPS7,-1.037522758504144,5.2376606144279264e-08
PABPC1L,0.9771163736176511,5.243534736709058e-08
ALDH3A2,-0.9894225773619798,5.2467143224539956e-08
ST7,-1.0154411638593457,5.429893534124984e-08
IMP4,-1.0619905792317645,5.4523030404719874e-08
MFSD1,-0.9490738129781437,5.5196833457913275e-08
LOC100129118,-0.9675938180385764,5.535111172734428e-08
DPYSL4,1.0923809229224428,5.544659576476011e-08
ERLIN1,-1.014043559926436,5.574439143115104e-08
SHMT1,-1.1287845127005909,5.641223078019064e-08
LOC645058,-1.0159128744052914,6.009589636866497e-08
RBM38,1.1296188301574688,6.255549839635348e-08
ASB3,0.9616761628493489,6.431824744554828e-08
GLRX5,-1.0889593717970385,6.448778813832768e-08
RIT1,-0.9995208952604155,6.488861306343527e-08
FAM46A,1.2388537292757906,6.563779630112496e-08
NFATC2IP,-1.094657296100893,6.625560705363926e-08
SLC6A10P,-1.0009864951238772,6.67397832756633e-08
DBNDD1,-1.0263085609101967,6.694195297282943e-08
NRAS,0.9638686998041539,6.89979757631841e-08
RAC1,-0.975480798906931,6.943373446576775e-08
ISCA1L,-1.0474440863120904,6.982792450532896e-08
ZCCHC17,-1.1720993551976253,7.133901968070758e-08
GTF2H3,0.9307096069902805,7.163189712585234e-08
CMIP,-1.0609259892287337,7.247982929993042e-08
PPP1R7,-1.1600955233683319,7.289839460939695e-08
SERBP1,-1.0120456547014784,7.582415802141982e-08
C3orf59,-0.9977767579352772,7.617032247251794e-08
TGFBR2,0.9432077295422427,7.626744945765245e-08
PDCD6,-0.9868920902369549,7.689787957602437e-08
AFP,-1.020508036569879,7.824427291199387e-08
LIMCH1,-1.081518061310641,7.87620104118116e-08
LOC653226,-1.0527142775690148,8.021071459911744e-08
ANKRA2,0.9716271962447198,8.333841326914644e-08
MYO19,0.936100965004373,8.443992575455967e-08
HIAT1,-0.9648441189914578,8.520852168952127e-08
LOC644615,-1.003267878060294,8.560668662516159e-08
IL7R,1.3057851902297468,8.644723264398177e-08
PGAM4,-0.9946778757045642,8.843200108804985e-08
PCNA,-1.1074160566299955,8.865112210986765e-08
PMEPA1,-1.083536584862948,8.975849349973273e-08
FBN2,1.1987273868833874,9.204715586798077e-08
STIL,-1.127106944343467,9.319312441127593e-08
DEF8,-0.9673467762927288,9.389336177485717e-08
SLC1A5,-0.9732618926837855,9.430003622501183e-08
FTO,-0.9830378805171884,9.698559938841688e-08
CUEDC2,1.0267842765934017,9.711096781609299e-08
CITED2,0.971657430318821,9.804680167291424e-08
UBE2G1,-0.9429742308840865,9.828486509565114e-08
TMEM79,0.8954152353548732,1.0038930116618577e-07
RAB11A,-0.9376375058154878,1.0042548587041118e-07
FAM84B,1.1685913619345065,1.0136884399091262e-07
LRDD,0.9022995069066795,1.0195064371718597e-07
RALBP1,-0.9391336088628472,1.0663678938193063e-07
NLN,-0.9926758217617841,1.1122229178315932e-07
ALDH18A1,-0.9200498038007741,1.1142599306766827e-07
HBXIP,-0.9748612954305926,1.1335586236333973e-07
UBE2L3,-1.0370853675180651,1.1381716027112927e-07
SEC22C,1.1276411876155912,1.1631349530084442e-07
B4GALNT1,-0.9321769040834145,1.1803334007430627e-07
RSC1A1,-0.8980350640072601,1.211814689504863e-07
LOC647302,1.2257243296795561,1.2438589660848002e-07
BOLA2,0.9287254301246524,1.2540326782057888e-07
LMAN2L,-1.0726655613253762,1.2608767161055719e-07
PDXK,-1.1753741184159292,1.3134178884457662e-07
SYNJ2BP,-0.9631536730005674,1.3364746495542124e-07
BAX,1.0617480315955508,1.3386688235572023e-07
C10orf78,-0.8771272580822504,1.3430666979312555e-07
GPAA1,-1.0546791278435528,1.3586374295262801e-07
NUP35,-0.941768450728329,1.3845958088070703e-07
LOC653226,-1.0299047839955051,1.3905020511913407e-07
SQLE,-0.9449252275499038,1.407949569247981e-07
ARPP19,-1.1008073590748726,1.4262420743855176e-07
TSNAX,0.875161647305104,1.427732745032779e-07
RASSF1,-0.8986289787018649,1.4309002475131002e-07
TAGLN2,-1.1445011751597836,1.4602641327075258e-07
LSS,-1.3072191406866231,1.478247094841911e-07
LPHN2,1.18788196537888,1.4876036167775863e-07
WASF3,-1.068050943679439,1.5035274561289962e-07
ASTN2,1.2543543426840165,1.5210351692364392e-07
RTN4,-0.8849435111659805,1.5270336273736482e-07
CNTNAP2,-1.179259959754682,1.529962061760054e-07
TBCC,-0.9187243047365268,1.560759561532175e-07
ABR,-0.9759567177274509,1.5668526677158443e-07
LSM3,1.0404004720943387,1.587010149422845e-07
PVRL4,1.2812415583436199,1.5946254042731253e-07
NUP62,-1.1663075978265187,1.6039190599612967e-07
PDSS2,-0.8695285613465824,1.6368174980166958e-07
EGFLAM,0.8997081671510578,1.6432712795976538e-07
RPL13A,-1.0176569210285837,1.6542434671419798e-07
SQLE,-1.1363084679749882,1.6561235974799247e-07
DHX40,0.9226149186767927,1.663259075907604e-07
TPD52L1,-1.0925855477134778,1.672973447505594e-07
AP1S2,-0.9095585250074993,1.674757361055614e-07
C18orf25,-0.8819178265746608,1.6856125001796877e-07
CCNG1,0.9125554585553832,1.693813038973423e-07
EGFLAM,1.0220757730707,1.7240127796228412e-07
COMMD7,-0.9021082683472805,1.72761833422049e-07
AKR7A2,-1.017879354633596,1.732425738533137e-07
KCNIP3,0.8824877779650588,1.7475309588400538e-07
UBE2E1,-1.0541495456212848,1.7482604006643477e-07
ID1,0.9680451741014631,1.8143068561716695e-07
NUP37,0.8939716629826187,1.8453509595528607e-07
NRP1,0.897887531466866,1.8490707999167475e-07
SEC61A2,0.949107787013876,1.873605524352636e-07
HSBP1,-1.0156014677436733,1.8738491605710976e-07
PPP2R2C,-0.8876878834937649,1.931699960424663e-07
TNFAIP1,-0.8744794399020108,1.9423202218271386e-07
SPP1,-1.2414949131159263,1.9463890308553346e-07
ABHD2,0.9932887021164012,1.95109140859281e-07
STARD10,1.3246727074207207,1.9537762888492186e-07
CDH10,1.1611420253907614,1.9574184234726905e-07
STAT3,1.065252858319015,1.9616311839173827e-07
PHF16,-0.8616540265685639,1.9685867689637886e-07
SDC1,0.9102159624008994,2.0007914627821692e-07
LOC653344,-1.0719097714830035,2.045775142198869e-07
CCNJL,-0.9538702661494458,2.0506445566611206e-07
PGAM1,-1.0265109427933172,2.0851240396699117e-07
CCL3L3,0.8911582049233004,2.0944272281371756e-07
C1orf128,-0.9356215442602451,2.1050916424665283e-07
ISCU,0.9578983682398832,2.127034109364504e-07
RFNG,1.2283141898637968,2.1296267300981389e-07
SLC35E1,-0.9672792383845596,2.140678496263951e-07
LAT2,-0.9805226670423792,2.14242981822716e-07
ERRFI1,-0.8540540441590068,2.1812073044981264e-07
DMKN,-1.0287719188606896,2.2129099204649466e-07
MDC1,-1.1099814066793883,2.215763715314988e-07
NACC2,0.9757972836546855,2.230565260825116e-07
PHPT1,1.0214106570988655,2.230682680188817e-07
MYLK,1.2439376595226346,2.2588020106496054e-07
PHF11,-0.9040806138216055,2.293716311851278e-07
AMZ2,1.0062129990490956,2.3042801766629188e-07
C9orf169,1.3502366243929638,2.3128170250998583e-07
ARIH2,-1.0268628104626956,2.3225829591722964e-07
LOC100130919,-1.0184760823249537,2.3273982125794093e-07
PPAP2B,0.9859360668129558,2.329268986958885e-07
GP6,-1.0674308748243435,2.375311581292938e-07
VEGFC,0.941199972646217,2.3763210918951758e-07
CSRP1,-0.8875191474065343,2.446473680812586e-07
DDB2,0.894708197354241,2.506682404316006e-07
STRADB,0.9184717682254941,2.509572300707493e-07
TRIM6,-1.0132670246171624,2.522144432563518e-07
PRC1,-1.0911812343712288,2.5760732434857515e-07
SLC30A1,0.914255887262323,2.5783231257429066e-07
LAT2,-1.0373782742934505,2.700363359345624e-07
ID3,1.254670536496242,2.7148627473832923e-07
MAD1L1,1.170703083267373,2.7344630696499795e-07
PSMB6,-0.9096005412108514,2.7556844867553107e-07
TGFBR2,0.9386959172808602,2.788706189748392e-07
UNC84A,-0.8435441808346233,2.808617195990316e-07
EGFLAM,0.9287186026150742,2.814570659801946e-07
RNF216,-1.1299580671691611,2.836408484152767e-07
IL28RA,-0.8729395280909396,2.877856149617739e-07
ZMYM6,-1.0200769616208412,2.8932461837574585e-07
FAF1,-0.8979181265264771,2.9264411219090036e-07
ELOF1,-1.018686528359801,2.9454479876755434e-07
CGB5,-1.0223088448846012,2.976091933666244e-07
STAT3,0.9471064079018294,2.977475132000295e-07
C17orf70,-0.8698470060297421,2.9909630346934446e-07
SLC29A2,-1.1684691026075766,2.999763671126885e-07
DCBLD2,-1.1748139672512181,3.0392125368565054e-07
CDR2L,-0.9456644041467523,3.0749328257525904e-07
DGKA,1.2655044473829173,3.131988407196746e-07
TP53I3,1.6059999527208664,3.132361696318031e-07
NASP,-0.8848912880904809,3.1363250113531955e-07
NADSYN1,1.1384369908958778,3.167478295090714e-07
TACC2,-0.8389898999019918,3.19726120699515e-07
HYAL3,-0.8866362678378117,3.2004604632428457e-07
C13orf23,-0.8380782968181082,3.203275199997118e-07
NKX2-5,0.9588541474884344,3.210398343829789e-07
UNC45A,-0.8587502109469352,3.251733194619566e-07
